ext_id,price,processed_ontology,size,special_price
14081,13890,home_decor,,
8582,2940,women_swimwear,"XS,S,M,L",1740
12728,1590,tops,"XS,S,M,L,XL",1113
12664,990,accessories>others,,
12670,550,desk_and_stationery,,
12745,1190,curtains,,
12746,1390,cushions,,
12769,2590,lighting,,
13372,1490,desk_and_stationery,,
13526,490,cushions,,
12904,1290,kitchen,,
12950,1740,jewelry,,
12959,1640,jewelry,,
12412,1240,jewelry,,
12663,990,accessories>others,,
12411,1290,jewelry,,
10247,2003,serveware,,
11028,3390,lighting,,
11421,2640,jewelry,,
11425,1240,jewelry,,
11663,1490,belts,,
11748,600,headbands,,
12076,1390,serveware,,
7990,630,vases_and_accessories,,
9366,890,lighting,,
9371,14990,wall_art,,
12246,1940,jewelry,,
12324,1990,serveware,,
12325,1490,serveware,,
12330,2590,lighting,,
201,1200,wall_art,,
202,1100,wall_art,,
203,2000,wall_art,,
12136,2990,bags,,
9577,4090,lighting,,
9594,810,lighting,,
12083,740,lighting,,
12084,990,kitchen,,
12099,2243,vases_and_accessories,,
9678,2290,mirror,,
8527,2990,women_swimwear,XS,1495
9114,2580,women_swimwear,XS,1290
13927,2890,bags,,
13469,890,jewelry,,
11429,5000,jewelry,,
12138,1640,tops,,
14313,1540,tops,,
11433,4000,jewelry,,
14456,1790,tops,,
13631,2440,wedge,"40,41",1220
13311,1790,sandals,"36,37,39",
12072,1440,tableware,,1160
11774,1790,dining__entertaining,,895
12723,2490,tableware,,
12349,1740,tops,L,
9610,1260,candles,,1000
13821,1490,serveware,,
13804,1310,drinkware,,
12077,1990,dining__entertaining,,995
12137,2990,bags,,
13467,2340,bags,,
14018,1890,serveware,,
14355,990,candles,,
13351,2290,flats,38,1145
12993,1790,flats,"36,38",716
14110,1890,flats,40,
14132,1390,bed_linen,,
12755,2290,flats,40,1603
12926,1790,tops,XS,895
14356,1640,drinkware,,
13747,1540,tops,XL,770
12328,3690,lighting,,
13805,1310,drinkware,,
14818,2290,serveware,,
16111,1270,drinkware,,
16120,1490,drinkware,,
16116,1490,drinkware,,
16121,1830,drinkware,,
14325,2640,dresses,M,1848
12132,1990,dining__entertaining,,995
8503,3000,women_swimwear,XS,1500
14969,1190,accessories,,833
14952,1540,tops,XXL,924
12409,2190,jewelry,,1314
13148,2240,bags,,
14911,1640,cushions,,1230
15281,3990,accessories,,
14117,1890,sandals,40,1323
14344,1240,accessories,,744
14103,1790,flats,41,1253
13997,2490,bags,,1494
10414,2460,wedge,39,910
12506,1690,barware,,
11423,2640,jewelry,,890
12856,2540,heels,39,1778
12964,1340,jewelry,,670
12543,1790,sandals,38,1253
11923,1940,flats,38,1358
10396,1690,flats,"39,41",
12961,1490,jewelry,,
12380,5930,bed_linen,,4744
14201,2900,heels,39,1740
15673,2740,dresses,XS,
14910,1640,cushions,,1230
13653,10570,home_decor,,
11199,36020,home_decor,,
